OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),Outlier,TotalGHGEmissions
594,2015,NonResidential,Other,Mckinstry Shop,98134,2,Greater Duwamish,47.5589184,-122.3315553,1973,1.0,1.0,110689,0,110689,Other,110689.0,,,,,,2227640.0,,92.7
595,2015,NonResidential,Small- and Mid-Sized Office,Mckinstry 220 South Dawson,98134,2,Greater Duwamish,47.556121,-122.331634,1948,1.0,1.0,53620,0,53620,Office,53620.0,,,,,88.0,1998767.0,,21.6
596,2015,NonResidential,Small- and Mid-Sized Office,Iridio - (Old Western Cartage),98134,2,Greater Duwamish,47.55604648,-122.3332733,1938,1.0,1.0,50008,0,50008,Office,50008.0,,,,,57.0,3373582.0,,66.32
597,2015,NonResidential,Large Office,635 Elliott - South Building,98119,7,Magnolia / Queen Anne,47.62516702,-122.3671766,2009,1.0,4.0,291176,100176,191000,Office,194674.0,Parking,111198.0,,,99.0,6083307.0,,42.41
598,2015,NonResidential,Warehouse,Cascade Designs Inc (Baja),98134,2,Greater Duwamish,47.56408325,-122.3324282,1957,1.0,1.0,50832,0,50832,Non-Refrigerated Warehouse,43920.0,Office,6912.0,,,52.0,2666634.0,,105.32
599,2015,NonResidential,Refrigerated Warehouse,Uwajimaya (Seattle 5),98108,2,Greater Duwamish,47.56156057,-122.3275348,1971,1.0,1.0,76354,0,76354,Refrigerated Warehouse,63157.0,,,,,63.0,3022275.0,,21.92
600,2015,NonResidential,Warehouse,Merlino Foods,98134,2,Greater Duwamish,47.56597185,-122.3288821,1956,1.0,1.0,98480,0,98480,Non-Refrigerated Warehouse,98480.0,,,,,67.0,2792236.0,,41.15
602,2015,NonResidential,Mixed Use Property,Gilead Sciences Bldg. (Alexandria R.E.)  Econ. Uni,98102,4,Lake Union,47.63453293,-122.32646179,2008,1.0,3.0,175918,51218,124700,Office,66737.0,Parking,58218.0,Laboratory,30230.0,,20063722.0,,565.79
603,2015,NonResidential,Other,Zymogenetics,98102,3,Lake Union,47.63103515,-122.3275228,1920,1.0,3.0,169785,63782,106003,Other,106003.0,Parking,63782.0,,,,21187538.0,,485.76
604,2015,NonResidential,Large Office,Agc Building & Bank,98109,7,Lake Union,47.62998519,-122.3396373,1971,1.0,11.0,124721,0,124721,Office,107594.0,Restaurant,15600.0,Parking,12000.0,56.0,13951571.0,,360.04
606,2015,NonResidential,Warehouse,Nwcp Bldg U,98108,2,Greater Duwamish,47.55487662,-122.3276403,1974,1.0,1.0,93020,0,93020,Non-Refrigerated Warehouse,93020.0,,,,,61.0,1226435.0,,8.55
