country_code,country,total_population,distance_capitale_paris,credendo_political_risk,credendo_commercial_risk,gdp_usd,chicken_imports_quantity_number,poultry_imports_quantity_tonnes,cannedchicken_imports_quantity_tonnes,chicken_stock_number,poultry_production_quantity_tonnes,chicken_production_quantity_tonnes,poultry_production_proportion_import
234,Uruguay,3408005.0,10971.0,3.0,1.0,57531224151.0,438000.0,1.0,2848.0,20000000.0,44000.0,43707.0,0.037037037037037035
235,Ouzbékistan,30019734.0,5154.0,4.0,3.0,57690793488.99999,989000.0,20378.0,6.0,46800000.0,45000.0,32286.0,0.6363636363636364
236,Venezuela (République bolivarienne du),30317848.0,7626.0,7.0,3.0,371338321700.0,3409000.0,278863.0,9.0,122000000.0,915385.0,1272997.0,0.30491803278688523
237,Viet Nam,91497725.0,9208.0,3.0,2.0,171222025390.0,1923000.0,115187.0,,234509000.0,575752.0,527665.0,0.7898894154818326
238,Éthiopie,94887724.0,5582.0,6.0,3.0,46542005272.0,70000.0,130.0,13.0,51350000.0,61840.0,61804.0,0.0
244,Samoa,190757.0,16100.0,4.0,2.0,804580917.0,31000.0,12703.0,0.0,484000.0,458.0,579.0,13.0
249,Yémen,25576322.0,5321.0,7.0,3.0,34755287255.0,2146000.0,107834.0,678.0,63000000.0,166131.0,150546.0,0.7124183006535948
251,Zambie,15153210.0,7600.0,5.0,3.0,28045620321.0,713000.0,1522.0,47.0,38000000.0,46000.0,45577.0,0.043478260869565216
255,Belgique,11151511.999999998,262.0,1.0,1.0,520925468950.0,154169000.0,151787.0,44605.0,36219000.0,379933.0,362185.0,0.6478149100257069
256,Luxembourg,544721.0,288.0,1.0,1.0,61739352212.0,97000.0,6252.0,2012.0,111000.0,244.0,2.0,5.0
272,Serbie,8920215.0,1448.0,3.0,2.0,45519637712.0,6201000.0,8468.0,2199.0,17305000.0,83824.0,87983.0,0.12903225806451613
273,Monténégro,627094.0,1495.0,4.0,2.0,4464527660.0,985000.0,5442.0,677.0,620000.0,3350.0,2088.0,2.3333333333333335
276,Soudan,36849918.0,4605.0,7.0,3.0,63911665939.0,1068000.0,3864.0,28.0,46117000.0,55000.0,,0.043478260869565216
